"common/c_cpp/src/c/fileparser.c:174","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:651 -> mama/c_cpp/src/c/bridge/qpid/transport.c:637","(style, inconclusive) Function 'qpidBridgeMamaTransport_sendMsgToConnection' argument 1 names different: declaration 'transport' definition 'tport'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:675 -> mama/c_cpp/src/c/bridge/qpid/transport.c:660","(style, inconclusive) Function 'qpidBridgeMamaTransport_installConnectConflateMgr' argument 1 names different: declaration 'transport' definition 'handle'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:689 -> mama/c_cpp/src/c/bridge/qpid/transport.c:671","(style, inconclusive) Function 'qpidBridgeMamaTransport_uninstallConnectConflateMgr' argument 1 names different: declaration 'transport' definition 'handle'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:701 -> mama/c_cpp/src/c/bridge/qpid/transport.c:680","(style, inconclusive) Function 'qpidBridgeMamaTransport_startConnectionConflation' argument 1 names different: declaration 'transport' definition 'tport'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:768 -> mama/c_cpp/src/c/bridge/qpid/subscription.c:50","(style, inconclusive) Function 'qpidBridgeMamaSubscription_create' argument 4 names different: declaration 'transport' definition 'tport'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:782 -> mama/c_cpp/src/c/bridge/qpid/subscription.c:203","(style, inconclusive) Function 'qpidBridgeMamaSubscription_createWildCard' argument 1 names different: declaration 'subsc_' definition 'subscriber'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:831 -> mama/c_cpp/src/c/bridge/qpid/subscription.c:307","(style, inconclusive) Function 'qpidBridgeMamaSubscription_isValid' argument 1 names different: declaration 'bridge' definition 'subscriber'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:849 -> mama/c_cpp/src/c/bridge/qpid/subscription.c:325","(style, inconclusive) Function 'qpidBridgeMamaSubscription_getPlatformError' argument 1 names different: declaration 'subsc' definition 'subscriber'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:859 -> mama/c_cpp/src/c/bridge/qpid/subscription.c:332","(style, inconclusive) Function 'qpidBridgeMamaSubscription_isTportDisconnected' argument 1 names different: declaration 'subsc' definition 'subscriber'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:868 -> mama/c_cpp/src/c/bridge/qpid/subscription.c:343","(style, inconclusive) Function 'qpidBridgeMamaSubscription_setTopicClosure' argument 1 names different: declaration 'subsc' definition 'subscriber'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:878 -> mama/c_cpp/src/c/bridge/qpid/subscription.c:350","(style, inconclusive) Function 'qpidBridgeMamaSubscription_muteCurrentTopic' argument 1 names different: declaration 'subsc' definition 'subscriber'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:908 -> mama/c_cpp/src/c/bridge/qpid/timer.c:103","(style, inconclusive) Function 'qpidBridgeMamaTimer_create' argument 1 names different: declaration 'timer' definition 'result'."
"mama/c_cpp/src/c/bridge/qpid/subscription.c:179","(style) A pointer can not be negative so it is either pointless or an error to check if it is."
"mama/c_cpp/src/c/bridge/qpid/transport.c:1105 -> mama/c_cpp/src/c/bridge/qpid/transport.c:1118","(style) Variable 'returnVal' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/bridge/qpid/transport.c:1171 -> mama/c_cpp/src/c/bridge/qpid/transport.c:1178","(style) Variable 'property' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/bridge/qpid/transport.c:1195 -> mama/c_cpp/src/c/bridge/qpid/transport.c:1202","(style) Variable 'returnVal' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/bridge/qpid/transport.c:1353 -> mama/c_cpp/src/c/bridge/qpid/transport.c:1359","(style) Variable 'topic' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/bridge/qpid/transport.c:1354 -> mama/c_cpp/src/c/bridge/qpid/transport.c:1360","(style) Variable 'replyTo' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/bridge/qpid/transport.c:1413","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/bridge/qpid/transport.c:275","(style) Variable 'next' is assigned a value that is never used."
"mama/c_cpp/src/c/bridge/qpid/transport.c:763 -> mama/c_cpp/src/c/bridge/qpid/transport.c:765","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/bridge/qpid/transport.c:852","(style) Unused variable: attr"
"mama/c_cpp/src/c/bridge/qpid/transport.c:888","(style) A pointer can not be negative so it is either pointless or an error to check if it is."
"mama/c_cpp/src/c/bridge/qpid/transport.c:906","(style) A pointer can not be negative so it is either pointless or an error to check if it is."
"mama/c_cpp/src/c/bridge/qpid/transport.c:943 -> mama/c_cpp/src/c/bridge/qpid/transport.c:952","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/conflation/connection_int.h:68 -> mama/c_cpp/src/c/conflation/connection.c:37","(style, inconclusive) Function 'mamaConnection_allocate' argument 8 names different: declaration 'bytesCount' definition 'bytesSent'."
"mama/c_cpp/src/c/conflation/manager.c:218","(style) Condition 'status==MAMA_STATUS_OK' is always true"
"mama/c_cpp/src/c/dictionary.c:135","(style) The scope of the variable 'i' can be reduced."
"mama/c_cpp/src/c/dictionary.c:323","(style) Checking if unsigned variable '*size' is less than zero."
"mama/c_cpp/src/c/dictionary.c:426 -> mama/c_cpp/src/c/dictionary.c:429","(style) Variable 'msgStatus' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dictionary.c:427 -> mama/c_cpp/src/c/dictionary.c:430","(style) Variable 'msgType' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqpublisher.c:303","(style) The scope of the variable 'sendtimestr' can be reduced."
"mama/c_cpp/src/c/dqpublisher.c:51 -> mama/c_cpp/src/c/dqpublisher.c:53","(style) Variable 'impl' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqpublisher.c:71 -> mama/c_cpp/src/c/dqpublisher.c:74","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqpublishermanager.c:136","(warning) Possible null pointer dereference: impl"
"mama/c_cpp/src/c/dqpublishermanager.c:219 -> mama/c_cpp/src/c/dqpublishermanager.c:221","(style) Variable 'impl' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqpublishermanager.c:357 -> mama/c_cpp/src/c/dqpublishermanager.c:360","(style) Variable 'newTopic' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqpublishermanager.c:386 -> mama/c_cpp/src/c/dqpublishermanager.c:389","(style) Variable 'newTopic' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqpublishermanager.c:412 -> mama/c_cpp/src/c/dqpublishermanager.c:417","(style) Variable 'newTopic' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqpublishermanager.c:414","(style) The scope of the variable 'topic' can be reduced."
"mama/c_cpp/src/c/dqpublishermanager.c:415","(style) The scope of the variable 'length' can be reduced."
"mama/c_cpp/src/c/dqpublishermanager.c:445","(error) Memory leak: newTopic"
"mama/c_cpp/src/c/dqstrategy.c:109 -> mama/c_cpp/src/c/dqstrategy.c:114","(style) Variable 'cb' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqstrategy.c:264","(warning) Logical disjunction always evaluates to true: ctxDqState != 2 || ctxDqState != 6."
"mama/c_cpp/src/c/dqstrategy.c:370 -> mama/c_cpp/src/c/dqstrategy.c:374","(style) Variable 'msgStatus' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqstrategy.c:524 -> mama/c_cpp/src/c/dqstrategy.c:530","(style) Variable 'cb' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqstrategy.c:543","(style) Redundant condition: If 'EXPR == 3', the comparison 'EXPR != 2' is always true."
"mama/c_cpp/src/c/dqstrategy.c:594 -> mama/c_cpp/src/c/dqstrategy.c:595","(style) Variable 'ctx->mSenderId' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/dqstrategy.c:66 -> mama/c_cpp/src/c/dqstrategy.c:692","(style, inconclusive) Function 'dqContext_fillGap' argument 2 names different: declaration 'seqNum' definition 'end'."
"mama/c_cpp/src/c/dqstrategy.c:795","(style) The scope of the variable 'i' can be reduced."
"mama/c_cpp/src/c/dqstrategy.h:77 -> mama/c_cpp/src/c/dqstrategy.c:70","(style, inconclusive) Function 'dqStrategy_create' argument 1 names different: declaration 'strategy' definition 'strategy_'."
"mama/c_cpp/src/c/entitlement/noop/noop.h:54 -> mama/c_cpp/src/c/entitlement/noop/noop.c:64","(style, inconclusive) Function 'noopEntitlementBridge_createSubscription' argument 1 names different: declaration 'entBridge' definition 'mamaEntBridge'."
"mama/c_cpp/src/c/fieldcache/fieldcachemaparray.c:100","(style) The scope of the variable 'i' can be reduced."
"mama/c_cpp/src/c/fieldcache/fieldcachemaparray.c:147 -> mama/c_cpp/src/c/fieldcache/fieldcachemaparray.c:151","(style) Variable 'arrayMap' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/fieldcache/fieldcachemaparray.c:96 -> mama/c_cpp/src/c/fieldcache/fieldcachemaparray.c:103","(style) Variable 'arrayMap' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/fieldcache/fieldcachemaparray.c:98","(style) The scope of the variable 'newSize' can be reduced."
"mama/c_cpp/src/c/fieldcache/fieldcachemap.c:31 -> mama/c_cpp/src/c/fieldcache/fieldcachemap.c:34","(style) Variable 'ret' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/fielddesc.c:76","(warning) Assignment of function parameter has no effect outside the function. Did you forget dereferencing it?"
"mama/c_cpp/src/c/ft.c:1119","(warning) %d in format string (no. 3) requires 'int' but the argument type is 'unsigned int'."
"mama/c_cpp/src/c/ft.c:1119","(warning) %d in format string (no. 4) requires 'int' but the argument type is 'unsigned int'."
"mama/c_cpp/src/c/ft.c:1168","(warning) sscanf() without field width limits can crash with huge input data."
"mama/c_cpp/src/c/ft.c:512","(style) Obsolescent function 'gethostbyname' called. It is recommended to use 'getaddrinfo' instead."
"mama/c_cpp/src/c/ft.c:678","(error) Uninitialized variable: status"
"mama/c_cpp/src/c/ft.c:962","(error) Resource leak: sock"
"mama/c_cpp/src/c/imagerequest.c:134 -> mama/c_cpp/src/c/imagerequest.c:635","(style, inconclusive) Function 'requestAction' argument 2 names different: declaration 'msg' definition 'action'."
"mama/c_cpp/src/c/imagerequest.c:319 -> mama/c_cpp/src/c/imagerequest.c:329","(style) Variable 'impl' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/imagerequest.c:736 -> mama/c_cpp/src/c/imagerequest.c:743","(style) Variable 'action' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/imagerequest.h:39 -> mama/c_cpp/src/c/imagerequest.c:313","(style, inconclusive) Function 'imageRequest_create' argument 1 names different: declaration 'request' definition 'result'."
"mama/c_cpp/src/c/inboximpl.h:38 -> mama/c_cpp/src/c/inbox.c:130","(style, inconclusive) Function 'mamaInbox_createByIndex' argument 2 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/inboximpl.h:48 -> mama/c_cpp/src/c/inbox.c:143","(style, inconclusive) Function 'mamaInbox_createByIndex2' argument 2 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/listenermsgcallback.c:416","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/listenermsgcallback.h:38 -> mama/c_cpp/src/c/listenermsgcallback.c:81","(style, inconclusive) Function 'listenerMsgCallback_create' argument 1 names different: declaration 'callback' definition 'result'."
"mama/c_cpp/src/c/log.c:1003 -> mama/c_cpp/src/c/log.c:1010","(style) Variable 'logFunction' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/log.c:1084 -> mama/c_cpp/src/c/log.c:1091","(style) Variable 'logFunction' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/log.c:1110 -> mama/c_cpp/src/c/log.c:1117","(style) Variable 'logFunction' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/log.c:1132 -> mama/c_cpp/src/c/log.c:1138","(style) Variable 'forceLogFunction' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/log.c:1153 -> mama/c_cpp/src/c/log.c:1159","(style) Variable 'forceLogFunction' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/log.c:172","(warning) %d in format string (no. 1) requires 'int' but the argument type is 'unsigned int'."
"mama/c_cpp/src/c/log.c:529","(error) va_start() or va_copy() called subsequently on 'ap' without va_end() in between."
"mama/c_cpp/src/c/mama.c:1066 -> mama/c_cpp/src/c/mama.c:1071","(style) Variable 'propVal' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/mama.c:1144 -> mama/c_cpp/src/c/mama.c:1147","(style) Variable 'statsIntervalStr' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/mama.c:1177 -> mama/c_cpp/src/c/mama.c:1178","(style) Variable 'statsMiddleware' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/mama.c:1260","(style) Unused variable: fileProperties"
"mama/c_cpp/src/c/mama.c:1318","(style) The scope of the variable 'payload' can be reduced."
"mama/c_cpp/src/c/mama.c:1319","(style) The scope of the variable 'bridgeCount' can be reduced."
"mama/c_cpp/src/c/mama.c:1372","(style) Unused variable: threadname"
"mama/c_cpp/src/c/mama.c:1710","(style) Unused variable: thread"
"mama/c_cpp/src/c/mama.c:1890","(portability) Non reentrant function 'getlogin' called. For threadsafe applications it is recommended to use the reentrant replacement function 'getlogin_r'."
"mama/c_cpp/src/c/mama.c:2268","(style) Label 'error_handling_close_and_unlock' is not used."
"mama/c_cpp/src/c/mama.c:2805","(style) Label 'error_handling_close_and_unlock' is not used."
"mama/c_cpp/src/c/mama.c:416 -> mama/c_cpp/src/c/mama.c:421","(style) Variable 'statsLogTportName' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/mama.c:417 -> mama/c_cpp/src/c/mama.c:423","(style) Variable 'statsLogMiddlewareName' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/mama.c:764","(style) The scope of the variable 'payloadLib' can be reduced."
"mama/c_cpp/src/c/mama/dictionary.h:83 -> mama/c_cpp/src/c/subscription.c:791","(style, inconclusive) Function 'mama_createDictionary' argument 3 names different: declaration 'dictionaryCallbacks' definition 'dictionaryCallback'."
"mama/c_cpp/src/c/mama/dqpublishermanager.h:113 -> mama/c_cpp/src/c/dqpublishermanager.c:246","(style, inconclusive) Function 'mamaDQPublisherManager_create' argument 1 names different: declaration 'dqPublisher' definition 'manager'."
"mama/c_cpp/src/c/mama/fielddesc.h:156 -> mama/c_cpp/src/c/fielddesc.c:34","(style, inconclusive) Function 'mamaFieldDescriptor_create' argument 3 names different: declaration 'type' definition 'wType'."
"mama/c_cpp/src/c/mamainternal.h:125 -> mama/c_cpp/src/c/mama.c:1951","(style, inconclusive) Function 'mamaInternal_registerBridge' argument 2 names different: declaration 'middleware' definition 'middlewareName'."
"mama/c_cpp/src/c/mama/log.h:185 -> mama/c_cpp/src/c/log.c:867","(style, inconclusive) Function 'mama_enableLogging' argument 1 names different: declaration 'file' definition 'f'."
"mama/c_cpp/src/c/mama/log.h:469 -> mama/c_cpp/src/c/log.c:725","(style, inconclusive) Function 'mama_setLogSizeCb' argument 1 names different: declaration 'logCallbacks' definition 'callback'."
"mama/c_cpp/src/c/mama/mama.h:141 -> mama/c_cpp/src/c/mama.c:2469","(style, inconclusive) Function 'mama_loadBridge' argument 2 names different: declaration 'middleware' definition 'middlewareName'."
"mama/c_cpp/src/c/mama/mama.h:145 -> mama/c_cpp/src/c/mama.c:1968","(style, inconclusive) Function 'mama_loadPayloadBridge' argument 1 names different: declaration 'bridge' definition 'impl'."
"mama/c_cpp/src/c/mama/mama.h:159 -> mama/c_cpp/src/c/mama.c:2814","(style, inconclusive) Function 'mama_loadBridgeWithPath' argument 2 names different: declaration 'middleware' definition 'middlewareName'."
